Township,Area,State,Tenure,Type,Bedrooms,Bathrooms,Median_Price,Median_PSF,House_Size_SQFT,Transactions,Safety_Score,Crime_Risk,Distance_to_Public_Transport_KM,Distance_to_Mall_KM,Distance_to_School_KM,Distance_to_Hospital_KM,Flood_Risk,Estimated_Rental_Yield_Pct,Historical_Capital_Appreciation_3Yr_Pct,Est_Monthly_Mortgage_RM
BANDAR TASIK KESUMA,Beranang,Selangor,Freehold,"Semi D, Town House, Terrace House",4,4,400000,293,"1,365",64,70,Moderate,1.20,5.90,3.50,1.70,Low,3.51,2.62,
TAMAN POLO LAGUNA @ TAMBUN,Ipoh,Perak,Leasehold,Terrace House,3,2,487800,349,"1,398",64,82,Low,7.30,7.00,0.70,3.70,Low,3.40,2.79,
TAMAN HARMONIS FASA 2,Seri Iskandar,Perak,Leasehold,"Terrace House, Cluster House",4,3,240000,175,"1,371",64,75,Low,15.10,5.90,1.30,4.40,Low,2.85,1.54,
TAMAN TUN DR ISMAIL,Taman Tun Dr Ismail,Kuala Lumpur,Freehold,Terrace House,3,2,1585000,768,"2,064",64,67,Moderate,11.10,18.00,0.70,6.00,Low,3.24,5.00,
TAMAN KAMUNTING PUTRA FASA 1,Kamunting,Perak,Leasehold,Terrace House,3,2,171000,131,"1,305",63,79,Low,9.20,5.00,0.70,2.20,Low,2.74,1.63,
BANDAR SUNGAI LONG,Bandar Sungai Long,Selangor,Freehold,Terrace House,3,2,690000,440,"1,568",63,68,Moderate,3.30,9.90,3.70,11.00,Medium,2.64,5.35,
BANDAR BARU SRI PETALING,Sri Petaling,Kuala Lumpur,Leasehold,"Terrace House, Semi D",4,4,845000,511,"1,654",63,69,Moderate,4.10,15.30,0.90,3.30,Medium,2.83,2.51,
BANDAR AMANJAYA (ZON ANGGERIK),Sungai Petani,Kedah,Freehold,"Semi D, Terrace House",4,4,215000,166,"1,295",63,82,Low,9.10,6.80,1.50,3.70,Medium,3.80,2.75,
CHEMOR KAYANGAN,Ipoh,Perak,Leasehold,Terrace House,3,2,228000,156,"1,462",62,80,Low,24.50,4.80,1.90,4.90,Medium,2.30,3.46,
BANDAR JAYA PUTRA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",4,3,1201200,549,"2,188",62,80,Low,3.80,1.50,1.50,4.70,Low,3.40,4.00,
BANDAR JAYA PUTRA,Ulu Tiram,Johor,Freehold,Terrace House,3,2,620000,501,"1,238",62,77,Low,7.00,3.50,0.90,6.90,Low,2.88,5.20,
TAMAN SRI MUDA,Shah Alam,Selangor,Freehold,Terrace House,3,2,330000,321,"1,028",61,71,Moderate,3.00,1.10,1.20,7.60,Low,2.56,3.36,
TAMAN PENAWAR HARMONI,Pengerang,Johor,Leasehold,Terrace House,3,2,80000,67,"1,194",60,74,Moderate,5.60,3.50,1.00,6.20,Low,2.28,4.78,
TAMAN GADONG JAYA,Labu,Negeri Sembilan,Freehold,"Terrace House, Town House",3,2,280000,207,"1,353",60,78,Low,6.40,6.00,2.90,6.80,Low,3.37,2.52,
TAMAN MOLEK,Johor Bahru,Johor,Freehold,Terrace House,3,2,600000,322,"1,863",60,78,Low,11.80,3.80,1.50,2.10,Low,2.50,4.45,
ALAM SARI BANGI,Bangi,Selangor,Freehold,"Terrace House, Cluster House",4,3,857000,416,"2,060",60,70,Moderate,1.50,1.90,1.30,5.20,Low,3.76,3.57,
BANDAR SUNGAI BUAYA,Serendah,Selangor,Leasehold,Terrace House,3,2,300000,188,"1,596",60,68,Moderate,1.00,3.20,1.00,1.50,Low,3.84,3.55,
Sri Putramas,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,3,2,650000,619,"1,050",60,66,Moderate,0.60,3.10,1.00,6.80,Low,4.94,2.60,
TAMAN RIA,Sungai Petani,Kedah,Freehold,Terrace House,3,2,220000,152,"1,447",59,77,Low,18.40,3.60,1.80,12.90,Low,3.27,3.42,
KOTA PUTERI BANDAR BARU BATU ARANG,Batu Arang,Selangor,Leasehold,Terrace House,3,2,590000,272,"2,169",59,68,Moderate,3.30,1.60,1.50,1.90,High,4.26,3.35,
TAMAN SAMARINDAH,Kota Samarahan,Sarawak,"Freehold, Leasehold",Terrace House,3,2,300000,168,"1,786",59,74,Moderate,5.30,6.40,1.70,3.60,Low,3.02,1.16,
TAMAN TUNKU,Miri,Sarawak,Leasehold,Terrace House,3,2,288000,182,"1,582",59,82,Low,15.80,5.70,3.90,2.40,Low,4.01,2.42,
Royal Domain Sri Putramas 2,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,3,2,850000,669,"1,271",59,70,Moderate,1.10,1.10,3.50,4.90,Low,4.09,2.84,
SETIA ECOHILL,Semenyih,Selangor,Freehold,Terrace House,3,2,670000,354,"1,893",58,74,Moderate,3.10,7.60,1.90,8.10,Low,4.18,4.09,
SS2 PETALING JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,3,2,1120000,625,"1,792",58,72,Moderate,1.00,2.70,2.60,11.30,Medium,2.65,3.55,
AMBANG BOTANIC,Klang,Selangor,Freehold,"Semi D, Bungalow",7,6,1590000,546,"2,912",58,74,Moderate,3.40,3.50,0.80,2.80,Low,2.62,4.31,
BANDAR TASEK MUTIARA,Simpang Ampat,Penang,Freehold,Terrace House,3,2,425000,270,"1,574",58,74,Moderate,3.90,1.70,0.90,3.00,Low,4.14,5.07,
ECO MAJESTIC,Beranang,Selangor,Freehold,"Cluster House, Terrace House",4,3,854000,431,"1,981",58,76,Low,7.40,3.40,1.80,3.70,Low,3.06,4.98,
TAMAN TASIK INDAH,Kluang,Johor,Freehold,Terrace House,3,2,614000,258,"2,380",58,75,Low,1.90,3.90,0.60,1.90,Medium,2.97,3.26,
TAMAN KRUBONG HEIGHTS,Krubong,Melaka,Freehold,Terrace House,3,2,405800,290,"1,399",57,85,Very Low,11.30,4.10,1.60,2.50,Low,4.26,1.76,
TAMAN KAMUNTING PELANGI,Taiping,Perak,Freehold,Terrace House,3,2,299000,203,"1,473",57,73,Moderate,6.80,4.50,1.30,8.20,Low,2.74,3.47,
TAMAN PUNCAK CERIA (IDAMAN HILLS),Kluang,Johor,Freehold,Terrace House,3,2,538000,253,"2,126",57,75,Low,16.50,1.00,2.10,5.90,Low,2.31,4.78,
TAMAN NUSA BAYU,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,600000,464,"1,293",57,77,Low,13.60,5.80,4.50,1.60,Low,4.15,4.04,
BANDAR LAGUNA MERBOK (TERES),Sungai Petani,Kedah,Freehold,Terrace House,3,2,400000,264,"1,515",57,82,Low,9.50,4.00,3.80,4.00,High,2.01,1.94,
Palm Spring @ Damansara,Kota Damansara,Selangor,Leasehold,Condominium,3,2,530000,525,"1,010",57,71,Moderate,3.20,3.50,2.10,6.00,Low,3.46,3.75,
TAMAN PERAKKU SERDANG,Sitiawan,Perak,Leasehold,Terrace House,3,2,116000,50,"2,320",56,73,Moderate,30.50,11.60,9.20,6.60,Low,3.82,2.10,
BANDAR SERI ALAM,Masai,Johor,Freehold,Terrace House,3,2,496500,305,"1,628",56,74,Moderate,5.90,2.00,3.70,1.70,Low,2.99,4.17,
BANDAR JASIN BISTARI,Bemban,Melaka,Leasehold,Terrace House,3,2,230435,150,"1,536",56,77,Low,16.30,4.30,3.90,2.70,Low,3.34,3.14,
BERTAM PERDANA,Kepala Batas,Penang,Freehold,"Cluster House, Terrace House",4,3,310000,260,"1,192",55,76,Low,2.70,1.70,0.70,9.30,Low,2.71,4.97,
BANDAR PUTERI JAYA SEKSYEN 1,Sungai Petani,Kedah,Freehold,Terrace House,3,2,228000,200,"1,140",55,84,Low,6.50,5.60,2.20,2.60,Low,3.30,1.75,
TAMAN MOUNT AUSTIN,Tebrau,Johor,Freehold,"Terrace House, Semi D",4,4,700000,441,"1,587",55,76,Low,14.70,5.30,2.60,3.00,High,2.68,3.58,
RESIDENSI MERBOK,Nibong Tebal,Penang,Freehold,"Semi D, Bungalow",6,5,960000,274,"3,504",55,79,Low,14.80,2.60,0.90,16.50,Low,3.43,3.19,
TAMAN DESA IMPIAN 2 (FASA 2),Bukit Mertajam,Penang,Freehold,Semi D,4,4,900000,311,"2,894",54,76,Low,7.00,4.10,4.60,2.90,Low,4.12,4.22,
LAKE GARDEN RESIDENCE(TAMAN KLEBANG TEKOMA,Ipoh,Perak,Leasehold,"Terrace House, Semi D",4,4,499800,357,"1,400",54,82,Low,11.20,8.10,2.70,6.20,Low,4.12,1.12,
BANDAR BOTANIC,Klang,Selangor,Freehold,Terrace House,3,2,767500,468,"1,640",54,67,Moderate,1.60,11.10,1.30,2.10,Low,2.79,2.57,
TAMAN SRI SAUJANA,Kota Tinggi,Johor,Freehold,Terrace House,3,2,380000,271,"1,402",54,73,Moderate,8.80,4.30,2.50,4.90,Low,2.63,5.09,
BANDAR AMANJAYA (KEMBOJA),Sungai Petani,Kedah,Freehold,Terrace House,3,2,230000,165,"1,394",54,78,Low,39.10,4.20,1.60,3.00,High,2.08,2.09,
Seksyen 2 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,2,1,224500,380,591,54,66,Moderate,6.00,2.70,2.10,7.00,Low,3.47,3.75,
Melinsung Summer Bay Resort,Papar,Sabah,Leasehold,Apartment,3,2,115000,218,528,54,78,Low,27.70,4.30,1.30,2.80,Low,5.13,2.56,
TAMAN POLITEKNIK,Telok Kemang,Negeri Sembilan,Freehold,Terrace House,3,2,230000,177,"1,299",53,78,Low,20.40,4.20,2.80,11.10,Low,3.69,1.87,
KUALA BERANG,Hulu Terengganu,Terengganu,"Freehold, Leasehold","Bungalow, Terrace House",4,3,200000,62,"3,226",53,87,Very Low,6.30,4.90,2.60,10.60,Low,4.17,2.77,
"TAMAN ALAMANDA, BANDAR BARU SEGARI",Lumut,Perak,Leasehold,Terrace House,3,2,155500,120,"1,296",53,77,Low,7.60,9.10,0.80,14.00,Low,2.97,2.07,
TAMAN PUNCAK KASIH MERLIMAU PASIR,Merlimau,Melaka,Freehold,Terrace House,3,2,179800,127,"1,416",53,82,Low,39.30,4.90,1.10,1.80,Low,4.11,2.44,
TAMAN NUSANTARA,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,420000,372,"1,129",53,75,Low,6.60,3.00,0.70,2.60,Low,3.62,3.75,
TAMAN NUSA BESTARI 2,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,540000,363,"1,488",53,72,Moderate,1.10,2.10,3.00,9.80,Medium,2.51,4.67,
SETIA ECO PARK,Setia Alam,Selangor,Freehold,"Bungalow, Semi D",7,6,2450000,534,"4,588",53,75,Low,0.80,2.10,3.40,9.30,Low,3.40,4.00,
BANDAR TASIK SENANGIN,Lenggeng,Negeri Sembilan,Freehold,Bungalow,6,6,435000,105,"4,143",53,84,Low,21.30,7.80,0.70,6.20,Low,3.44,1.52,
TAMAN SENTOSA,Johor Bahru,Johor,Freehold,"Semi D, Terrace House",4,4,700000,321,"2,181",53,72,Moderate,1.00,9.70,2.20,3.10,Low,3.83,5.34,
TAMAN LANGAT UTAMA 3,Tanjong Duabelas,Selangor,Leasehold,Terrace House,3,2,410000,282,"1,454",53,75,Low,0.90,3.10,2.10,4.40,Medium,4.05,3.46,
AMBER 2 @ BUKIT SENTOSA,Serendah,Selangor,Freehold,Terrace House,3,2,452000,385,"1,174",52,69,Moderate,2.50,1.40,1.10,8.00,Low,2.93,4.93,
TAMAN BUKIT SENAWANG PERDANA,Rantau,Negeri Sembilan,Freehold,Terrace House,3,2,80000,67,"1,194",52,81,Low,22.70,9.40,0.70,13.70,Medium,3.37,2.37,
KOTA EMERALD,Rawang,Selangor,Freehold,"Terrace House, Semi D",4,4,795000,383,"2,076",52,75,Low,3.10,2.20,2.10,7.10,Low,4.13,4.11,
TAMAN MELAWATI,Ulu Klang,Selangor,Freehold,"Terrace House, Semi D",4,4,686000,483,"1,420",51,71,Moderate,1.10,6.00,4.90,3.00,Medium,3.18,2.63,
BUKIT BANYAN,Sungai Petani,Kedah,Freehold,"Town House, Terrace House, Semi D",4,4,499900,267,"1,872",51,85,Very Low,23.70,9.40,0.70,6.40,Medium,2.16,1.02,
BANDAR RINCHING,Semenyih,Selangor,Freehold,Terrace House,3,2,400000,292,"1,370",51,69,Moderate,1.20,5.10,2.20,2.70,Low,4.10,3.73,
DAMANSARA HEIGHTS (BUKIT DAMANSARA),Damansara Heights,Kuala Lumpur,Freehold,"Bungalow, Semi D",7,6,3600000,700,"5,143",51,63,Moderate,1.50,7.20,0.80,1.70,Medium,3.08,5.04,
TAMAN NILAM SARI,Seremban,Negeri Sembilan,Leasehold,Terrace House,3,2,411800,317,"1,299",50,75,Low,25.60,7.30,1.50,9.10,Low,3.40,2.52,
TAMAN AIR MANIS,Sabak Bernam,Selangor,Leasehold,"Cluster House, Terrace House",4,3,250000,179,"1,397",50,71,Moderate,3.10,2.50,0.80,8.70,Low,2.68,5.00,
TAMAN BERTAM HEIGHTS,Tanjong Minyak,Melaka,Freehold,Terrace House,3,2,180000,138,"1,304",50,84,Low,33.40,5.90,0.80,6.60,Low,2.38,1.13,
TAMAN PASIR PUTIH,Pasir Gudang,Johor,Freehold,Terrace House,3,2,375000,273,"1,374",50,71,Moderate,7.40,3.10,1.90,4.00,Low,2.44,3.30,
BANDAR PUTERA 2,Klang,Selangor,Leasehold,Terrace House,3,2,411640,344,"1,197",50,72,Moderate,2.60,6.30,3.20,6.40,Medium,2.65,4.51,
TAMAN KERIAN SENTOSA,Parit Buntar,Perak,Leasehold,Terrace House,3,2,368800,267,"1,381",50,79,Low,6.50,3.80,3.20,5.90,Low,2.50,2.69,
Medini Signature,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,3,2,814800,505,"1,613",50,72,Moderate,3.80,4.60,1.20,10.00,Low,3.41,2.94,
Angkasa Condominiums,Cheras,Kuala Lumpur,Freehold,Condominium,3,2,600000,648,926,50,70,Moderate,1.30,4.90,0.70,3.60,High,4.37,5.27,
BANDAR SEBERANG JAYA,Seberang Jaya,Penang,Leasehold,Terrace House,3,2,280000,294,952,49,76,Low,2.70,7.50,0.60,14.50,Low,3.98,5.41,
AMBER 1@BUKIT SENTOSA,Serendah,Selangor,Freehold,Terrace House,3,2,430000,332,"1,295",49,75,Low,9.50,4.40,2.00,2.80,High,3.50,4.53,
TAMAN SRI SKUDAI,Skudai,Johor,Freehold,Terrace House,3,2,400000,283,"1,413",49,76,Low,4.00,1.90,4.80,2.90,Low,3.44,4.37,
TAMAN AIR BIRU,Pasir Gudang,Johor,Leasehold,"Semi D, Terrace House",4,4,270000,245,"1,102",49,76,Low,14.40,5.50,1.20,2.10,Medium,2.34,4.13,
TAMAN SRI PULAI PERDANA,Kulai,Johor,Freehold,Terrace House,3,2,499000,382,"1,306",49,71,Moderate,7.00,1.00,1.70,16.40,Low,2.89,3.83,
TAMAN LESTARI PUCHONG,Seri Kembangan,Selangor,Leasehold,Terrace House,3,2,508000,338,"1,503",49,72,Moderate,4.50,2.40,1.20,3.20,Medium,3.20,2.89,
NUSA SENTRAL,Iskandar Puteri (Nusajaya),Johor,Freehold,"Semi D, Terrace House",4,4,770000,485,"1,588",49,79,Low,5.20,3.20,1.40,10.00,High,2.83,2.69,
TAMAN CEMPAKA,Ipoh,Perak,"Freehold, Leasehold",Terrace House,3,2,199000,202,985,49,72,Moderate,17.90,5.60,1.60,2.10,Low,4.25,1.30,
IRAMA SENDAYAN 2A,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,559444,379,"1,476",48,82,Low,15.20,15.70,0.90,1.80,Low,2.59,3.23,
TAMAN BAKTI [YNS],Labu,Negeri Sembilan,Freehold,Terrace House,3,2,80000,67,"1,194",48,79,Low,8.30,6.80,1.90,3.60,Low,3.11,1.34,
BANDAR PUTERI PUCHONG,Puchong,Selangor,Freehold,Terrace House,3,2,1225000,620,"1,976",48,74,Moderate,3.70,2.60,2.80,2.40,Low,2.88,2.85,
KEPONG BARU,Kepong,Kuala Lumpur,"Leasehold, Freehold",Terrace House,3,2,667500,445,"1,500",48,70,Moderate,1.30,6.10,2.10,3.70,Medium,2.46,2.66,
BANDAR KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,3,2,1415000,621,"2,279",48,71,Moderate,0.60,2.80,0.90,7.10,Low,3.01,4.92,
TAMAN RIA JAYA FASA 2,Sungai Petani,Kedah,Freehold,Terrace House,3,2,197500,146,"1,353",48,80,Low,20.60,5.70,1.10,5.10,Low,3.35,2.52,
TAMAN CAHAYA MASAI,Pasir Gudang,Johor,Leasehold,Terrace House,3,2,300000,381,787,48,76,Low,2.20,17.40,1.40,11.60,Low,2.46,3.53,
Nusa Perdana Apartment,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,3,2,360000,386,933,48,71,Moderate,17.90,2.30,0.60,2.40,Low,3.94,2.76,
TAMAN MELOR JAYA,Gerisek,Johor,Freehold,Terrace House,3,2,165000,100,"1,650",47,76,Low,19.50,2.60,0.90,1.50,Low,3.97,3.95,
TANJUNG TEMASEK,Ipoh,Perak,Leasehold,Terrace House,3,2,303800,226,"1,344",47,73,Moderate,42.00,10.90,3.30,6.90,Low,3.93,1.80,
ALAM PERDANA,Ijok,Selangor,Leasehold,Terrace House,3,2,310000,189,"1,640",47,74,Moderate,1.70,1.60,0.70,1.80,Medium,2.78,4.75,
TAMAN KRUBONG JAYA,Krubong,Melaka,Leasehold,Terrace House,3,2,290000,223,"1,300",47,81,Low,5.20,7.40,4.50,3.80,Low,3.81,1.57,
TAMAN ADDA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",4,3,1000000,387,"2,584",47,70,Moderate,16.80,1.40,1.60,3.20,Low,4.24,2.75,
TAMAN BANDAR UTAMA TAMPIN,Tampin,Negeri Sembilan,Freehold,"Semi D, Terrace House",4,4,299473,145,"2,065",47,82,Low,13.40,4.90,2.00,6.60,Low,2.16,2.49,
Taman Terubong Indah (Majestic Heights),Ayer Itam,Penang,Freehold,Flat,2,1,170000,243,700,47,77,Low,21.40,1.40,0.60,22.20,Low,4.86,5.38,
TAMAN CASSIA BAHAU,Bahau,Negeri Sembilan,Leasehold,Terrace House,3,2,249000,192,"1,297",46,82,Low,54.70,4.30,0.60,2.30,Low,2.93,1.06,
TAMAN MAHSURI,Padang Serai,Kedah,Freehold,Terrace House,3,2,270000,208,"1,298",46,77,Low,33.80,3.60,1.20,8.00,High,3.39,1.72,
TAMAN BUKIT PERDANA,Batu Pahat,Johor,Freehold,Terrace House,3,2,390000,253,"1,542",46,71,Moderate,3.10,2.30,1.40,6.00,Low,3.00,3.97,
TAMAN PUCHONG UTAMA,Puchong,Selangor,Freehold,Terrace House,3,2,600000,454,"1,322",46,72,Moderate,1.70,3.10,3.50,9.50,Medium,2.15,3.96,
USJ 3,Subang Jaya,Selangor,Freehold,Terrace House,3,2,765000,482,"1,587",46,69,Moderate,5.30,1.00,2.80,4.00,High,2.98,4.64,
TAMAN EVERGREEN HEIGHTS,Batu Pahat,Johor,Freehold,Terrace House,3,2,420000,244,"1,721",46,73,Moderate,3.30,14.50,1.50,18.80,Low,3.49,3.06,
TAMAN LAGENDA,Padang Serai,Kedah,Freehold,Terrace House,3,2,292500,214,"1,367",46,84,Low,7.80,7.70,0.90,4.60,High,2.47,1.63,
Molek Regency,Johor Bahru,Johor,Freehold,Service Residence,3,2,580000,536,"1,082",46,71,Moderate,5.90,15.50,3.40,1.90,Low,2.41,4.47,
Platinum Suites (The Face Suites),KLCC,Kuala Lumpur,Freehold,Service Residence,3,2,1453150,"1,827",795,46,70,Moderate,7.40,4.70,1.10,1.50,Low,4.29,4.46,
TAMAN SAUJANA MANJUNG,Sitiawan,Perak,Leasehold,"Semi D, Terrace House",4,4,329890,279,"1,182",45,73,Moderate,22.90,5.00,0.90,8.30,Medium,3.40,2.02,
MERU SENTOSA,Ipoh,Perak,Leasehold,Terrace House,3,2,340194,235,"1,448",45,73,Moderate,17.70,4.70,3.10,1.50,High,2.72,3.28,
TAMAN TERATAI,Kulai,Johor,Freehold,Terrace House,3,2,330000,273,"1,209",45,76,Low,1.60,2.10,0.90,2.60,Low,4.23,3.99,
TAMAN SEMENTA PERMAI,Kapar,Selangor,Freehold,Terrace House,3,2,358000,254,"1,409",45,75,Low,2.90,1.20,0.80,4.70,Medium,2.67,4.81,
TAMAN KOTA JAYA,Kota Tinggi,Johor,Freehold,"Semi D, Terrace House",4,4,310000,198,"1,566",45,71,Moderate,28.70,2.00,1.30,3.40,Low,2.30,4.80,
TAMAN SENAI JAYA,Senai,Johor,Freehold,Terrace House,3,2,170000,110,"1,545",45,73,Moderate,1.90,7.30,4.00,4.20,Low,3.88,2.87,
PR1MA @ PORT DICKSON,Lukut,Negeri Sembilan,Freehold,Terrace House,3,2,287850,210,"1,371",45,84,Low,16.00,4.70,0.70,13.80,Low,4.25,3.46,
TAMAN SCIENTEX SENAI,Senai,Johor,Freehold,Terrace House,3,2,480000,446,"1,076",45,80,Low,13.60,1.20,1.00,2.90,Medium,4.15,3.99,
Green Garden,Ayer Itam,Penang,Freehold,Flat,2,1,180000,335,537,45,79,Low,9.10,2.20,0.80,7.60,Low,3.77,4.25,
SCIENTEX SEREMBAN,Seremban,Negeri Sembilan,Freehold,Terrace House,3,2,380000,272,"1,397",44,78,Low,22.90,3.90,2.00,2.00,Low,2.97,1.51,
BANDAR UTAMA BATANG KALI,Batang Kali,Selangor,Freehold,"Terrace House, Cluster House",4,3,232500,208,"1,118",44,70,Moderate,3.50,1.20,4.10,2.30,Low,2.97,4.49,
TAMAN BUKIT TIRAM,Ulu Tiram,Johor,Freehold,Terrace House,3,2,380000,366,"1,038",44,76,Low,3.70,6.20,1.70,1.80,Low,2.16,3.50,
PULAI JAYA,Kulai,Johor,Freehold,Terrace House,3,2,520000,346,"1,503",43,76,Low,3.10,10.30,0.90,9.40,Low,2.04,4.75,
BANDAR UNIVERSITI,Seri Iskandar,Perak,Leasehold,"Terrace House, Semi D",4,4,250000,175,"1,429",43,75,Low,29.90,4.10,3.40,1.60,Low,3.47,1.16,
SERENE HEIGHTS,Semenyih,Selangor,Freehold,Terrace House,3,2,781800,445,"1,757",43,67,Moderate,4.70,3.20,2.70,12.40,Low,4.22,2.57,
TAS,Kuantan,Pahang,Freehold,Terrace House,3,2,185000,158,"1,171",43,77,Low,35.30,10.70,3.10,10.30,Low,3.36,2.94,
BANDAR TUN HUSSEIN ONN,Cheras,Selangor,Freehold,"Terrace House, Semi D",4,4,800000,390,"2,051",43,77,Low,6.60,1.70,1.00,2.90,Low,3.81,2.60,
TAMAN BUKIT DAHLIA,Pasir Gudang,Johor,"Freehold, Leasehold",Terrace House,3,2,480000,353,"1,360",43,74,Moderate,5.30,2.40,1.20,4.60,Low,4.08,5.26,
TAMAN BUKIT KEMPAS,Tampoi,Johor,Freehold,Terrace House,3,2,480000,291,"1,649",43,75,Low,5.20,1.50,2.30,2.20,Medium,3.29,3.95,
TAMAN PUTRA PRIMA,Puchong,Selangor,Freehold,Terrace House,3,2,780000,454,"1,718",43,72,Moderate,4.50,2.10,1.50,7.90,Medium,2.10,4.19,
DESA MAYANG SARI,Nilai,Negeri Sembilan,Freehold,Terrace House,3,2,718000,511,"1,405",42,82,Low,20.70,7.50,2.10,2.20,Low,2.94,2.93,
TAMAN DAMAI JAYA,Skudai,Johor,Freehold,Terrace House,3,2,325000,387,840,42,70,Moderate,8.30,3.40,0.60,3.40,Medium,2.93,4.55,
USJ 11,Subang Jaya,Selangor,Freehold,Terrace House,3,2,900000,513,"1,754",42,67,Moderate,4.50,2.60,0.60,2.80,Low,2.23,2.90,
TAMAN WIDURI,Sungai Jawi,Penang,Freehold,Terrace House,3,2,260000,224,"1,161",42,76,Low,14.20,10.30,5.10,3.20,Low,2.32,2.64,
BANDAR EKAR,Rantau,Negeri Sembilan,Freehold,Terrace House,3,2,235789,145,"1,626",42,79,Low,11.20,3.60,0.80,3.50,Low,3.25,2.98,
Greenfield Regency,Tampoi,Johor,Freehold,Service Residence,3,2,391500,485,807,42,77,Low,3.80,9.90,0.70,7.30,Low,3.40,4.22,
OVERSEAS UNION GARDEN,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,"Bungalow, Terrace House",6,5,923000,519,"1,778",41,68,Moderate,0.70,1.30,6.50,3.40,Low,3.57,3.52,
TAMAN PARKLAND,Kluang,Johor,Freehold,Terrace House,3,2,150000,107,"1,402",41,74,Moderate,6.20,5.50,1.10,5.50,Medium,2.83,3.44,
TAMAN TEHEL INDAH,Bemban,Melaka,Freehold,Terrace House,3,2,497000,337,"1,475",41,85,Very Low,5.50,4.10,0.70,12.60,Low,3.64,1.40,
TAMAN KLEMERU (P/L : 48396),Ipoh,Perak,Leasehold,Terrace House,3,2,403000,229,"1,760",41,73,Moderate,14.40,11.00,3.80,5.40,Low,2.03,2.49,
TAMAN BUKIT PERMATA,Selayang,Selangor,Freehold,Terrace House,3,2,310281,56,"5,541",41,73,Moderate,2.50,6.00,0.60,3.10,Low,4.17,4.33,
RPA SRI TANJUNG,Sungai Petani,Kedah,Freehold,Terrace House,3,2,27049,43,629,41,82,Low,10.10,4.60,2.00,3.30,High,3.80,2.68,
TAMAN BANDAR BARU SUNGAI LALANG,Sungai Petani,Kedah,Freehold,Terrace House,3,2,200000,151,"1,325",41,82,Low,18.40,4.00,1.90,8.20,High,3.14,2.80,
UDA UTAMA,Johor Bahru,Johor,Freehold,Terrace House,3,2,809662,487,"1,663",41,78,Low,1.20,2.40,0.70,2.40,Low,3.90,3.17,
NILAI IMPIAN,Nilai,Negeri Sembilan,Freehold,Terrace House,3,2,639888,383,"1,671",41,76,Low,5.60,4.30,1.00,5.60,Medium,2.77,1.56,
"TAMAN KELANA, RANTAU PANJANG",Kapar,Selangor,Freehold,Terrace House,3,2,473000,354,"1,336",40,77,Low,4.80,3.80,2.30,3.30,Low,3.04,5.16,
TIARA SENDAYAN - PRESINT 14C,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,512650,350,"1,465",40,77,Low,11.70,8.70,0.80,4.00,Low,2.79,1.94,
TAMAN DESA IMPIAN,Simpang Ampat,Penang,Freehold,Cluster House,4,3,880000,314,"2,803",40,78,Low,1.80,5.80,0.80,2.00,Low,3.98,4.05,
BANDAR BESTARI@CANARY GARDEN,Klang,Selangor,Freehold,Cluster House,4,3,1449665,620,"2,338",40,72,Moderate,2.30,7.50,1.10,6.10,Medium,3.23,5.08,
TAMAN SRI PENAWAR,Pengerang,Johor,Leasehold,Terrace House,3,2,525000,375,"1,400",40,79,Low,9.80,1.10,2.30,3.00,Low,3.13,4.54,
BANDAR SERI BOTANI,Simpang Pulai,Perak,"Freehold, Leasehold",Terrace House,3,2,448800,288,"1,558",40,76,Low,8.60,3.70,1.90,2.60,Low,2.20,1.45,
TAMAN RASA UTAMA,Batang Kali,Selangor,Leasehold,Terrace House,3,2,250000,187,"1,337",40,70,Moderate,2.90,2.50,0.60,2.10,Low,2.93,3.98,
TAMAN DESA TANJUNG MINYAK (SERI BERTAM),Tanjong Minyak,Melaka,Leasehold,Terrace House,3,2,260000,181,"1,436",39,75,Low,6.30,4.60,0.60,11.20,Low,4.22,3.43,
TAMAN CANNING,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D, Bungalow",6,6,425000,171,"2,485",39,76,Low,5.80,3.50,1.50,2.00,Low,3.96,1.79,
TAMAN PUSING SAKURA,Batu Gajah,Perak,Leasehold,Terrace House,3,2,330880,236,"1,402",39,81,Low,16.40,4.60,4.40,2.20,Low,4.22,2.72,
M SENYUM SALAK TINGGI,Sepang,Selangor,Leasehold,Terrace House,3,2,555210,463,"1,199",39,67,Moderate,2.40,11.10,0.80,6.90,Medium,2.90,4.61,
